PRESSURE_INLET;TEMPERATURE_INLET;INLET_QV;EXHAUST_PRESSURE;EXHAUST_QV;Efficiency
141.7080538;571.421;2.591795136;0.159;64.16861;0.910769409
54.49996704;479.999;4.004630958;0.10261;55.05056;0.910399591
39.99995242;418;1.580032361;0.15;17.58889;0.899196973
84.00003737;535;2.155729749;0.03074;58.76194;0.916702559
98.00001091;497;5.004973607;0.03388;32.79028;0.926047659
103.0002256;530;1.826491339;0.06235;36.24611;0.917704548
82.70830544;537.722;2.953917369;0.09685;69.04306;0.925459555
96.00004271;520;1.922827704;0.05321;20.40789;0.907932806
60.0000267;478;7.386276046;0.056;35.73778;0.901087236
129.9998944;550;4.060830553;0.06305;70.74861;0.917144924
73.0200217;438.436;2.781074539;0.08;53.49139;0.922483686
112.9174946;557.7;1.029687147;0.05271;36.52708;0.847160727
120.0000534;540;3.12250972;0.03649;20.99114;0.891422572
74.99998434;430.521;8.511825036;0.12;176.83111;0.922009207
109.049948;492.3;3.438028117;0.12749;77.49861;0.900531303
69.99996577;424.224;3.902386672;0.09;72.66222;0.89464194
88.27995363;525;2.226010872;0.0738;40.50139;0.913304979
101.9999473;535;1.746799782;0.07;11.95303;0.830529643
86.99998967;515;1.394086977;0.10004;29.035;0.86120276
60.0000267;480;1.624411553;0.04032;20.89439;0.856386976
42.00001869;413;2.308501539;0.08397;29.27972;0.836289326
98.0665;515;0.884652018;0.19613;8.54239;0.815880755
73.00001613;468;0.90979763;0.063;16.69839;0.897951867
73.00001613;468;0.919701634;0.063;16.74039;0.896939039
73.00001613;467.999;1.025874978;0.05878;16.05731;0.863987827
60.0000267;450;1.607832617;0.06;23.38839;0.904957
104.9998016;535;1.835314601;0.06252;8.00906;0.773618084
111.9997883;540;2.243527786;0.0493;8.21519;0.835572984
90.49998306;534.995;1.582022127;0.181;33.21639;0.898132813
36.00001602;380;0.878941068;0.06634;5.55058;0.838611766
87.99997378;480;1.561761837;0.08634;31.99389;0.893216277
24.99999478;375;6.377087468;0.06935;41.77083;0.795806359
69.99996577;485;1.255976533;0.07;2.12742;0.80871034
78.0000347;508;0.837629265;0.09999;14.65156;0.873188614
102.969825;535;0.721768674;0.2;16.40989;0.87968
120.0559513;548.1;1.23071674;0.03;2.90672;0.787216567
53.00003993;440;1.300284717;0.07742;19.66597;0.885985313
